          # time [s]   mass 1 (x, y) [m]   mass 2 (x, y) [m]
               3.495                   (0.9602, 0.2792)                   (1.949, 0.1274)
               3.496                   (0.9606, 0.278)                   (1.949, 0.1249)
               3.497                   (0.9609, 0.2769)                   (1.949, 0.1224)
               3.498                   (0.9612, 0.2758)                   (1.949, 0.1199)
               3.499                   (0.9616, 0.2746)                   (1.949, 0.1173)
                 3.5                   (0.9619, 0.2735)                   (1.949, 0.1148)
               3.501                   (0.9622, 0.2723)                   (1.949, 0.1122)
               3.502                   (0.9625, 0.2711)                   (1.949, 0.1097)
               3.503                   (0.9629, 0.2699)                   (1.95, 0.1071)
               3.504                   (0.9632, 0.2687)                   (1.95, 0.1045)
               3.505                   (0.9636, 0.2675)                   (1.95, 0.1019)
               3.506                   (0.9639, 0.2663)                   (1.95, 0.09934)
               3.507                   (0.9642, 0.2651)                   (1.95, 0.09673)
               3.508                   (0.9646, 0.2638)                   (1.95, 0.09411)
               3.509                   (0.9649, 0.2626)                   (1.95, 0.09148)
                3.51                   (0.9653, 0.2613)                   (1.95, 0.08884)
               3.511                   (0.9656, 0.26)                   (1.95, 0.08619)
               3.512                   (0.9659, 0.2588)                   (1.95, 0.08354)
               3.513                   (0.9663, 0.2575)                   (1.951, 0.08087)
               3.514                   (0.9666, 0.2562)                   (1.951, 0.07819)
               3.515                   (0.967, 0.2549)                   (1.951, 0.0755)
               3.516                   (0.9673, 0.2535)                   (1.951, 0.07281)
               3.517                   (0.9677, 0.2522)                   (1.951, 0.0701)
               3.518                   (0.968, 0.2509)                   (1.951, 0.06738)
               3.519                   (0.9684, 0.2495)                   (1.951, 0.06466)
                3.52                   (0.9687, 0.2481)                   (1.951, 0.06192)
               3.521                   (0.9691, 0.2468)                   (1.951, 0.05918)
               3.522                   (0.9694, 0.2454)                   (1.951, 0.05642)
               3.523                   (0.9698, 0.244)                   (1.951, 0.05366)
               3.524                   (0.9701, 0.2426)                   (1.952, 0.05089)
               3.525                   (0.9705, 0.2412)                   (1.952, 0.0481)
               3.526                   (0.9708, 0.2397)                   (1.952, 0.04531)
               3.527                   (0.9712, 0.2383)                   (1.952, 0.04251)
               3.528                   (0.9715, 0.2369)                   (1.952, 0.0397)
               3.529                   (0.9719, 0.2354)                   (1.952, 0.03688)
                3.53                   (0.9723, 0.2339)                   (1.952, 0.03405)
               3.531                   (0.9726, 0.2325)                   (1.952, 0.03121)
               3.532                   (0.973, 0.231)                   (1.952, 0.02836)
               3.533                   (0.9733, 0.2295)                   (1.952, 0.0255)
               3.534                   (0.9737, 0.228)                   (1.952, 0.02263)
               3.535                   (0.974, 0.2264)                   (1.952, 0.01975)
               3.536                   (0.9744, 0.2249)                   (1.953, 0.01687)
               3.537                   (0.9747, 0.2234)                   (1.953, 0.01397)
               3.538                   (0.9751, 0.2218)                   (1.953, 0.01106)
               3.539                   (0.9754, 0.2202)                   (1.953, 0.008147)
                3.54                   (0.9758, 0.2187)                   (1.953, 0.005222)
               3.541                   (0.9762, 0.2171)                   (1.953, 0.002287)
               3.542                   (0.9765, 0.2155)                   (1.953, -0.0006566)
               3.543                   (0.9769, 0.2139)                   (1.953, -0.00361)
               3.544                   (0.9772, 0.2122)                   (1.953, -0.006573)
               3.545                   (0.9776, 0.2106)                   (1.953, -0.009545)
               3.546                   (0.9779, 0.209)                   (1.953, -0.01253)
               3.547                   (0.9783, 0.2073)                   (1.953, -0.01552)
               3.548                   (0.9786, 0.2057)                   (1.953, -0.01852)
               3.549                   (0.979, 0.204)                   (1.953, -0.02153)
                3.55                   (0.9793, 0.2023)                   (1.953, -0.02454)
               3.551                   (0.9797, 0.2006)                   (1.953, -0.02757)
               3.552                   (0.98, 0.1989)                   (1.953, -0.03061)
               3.553                   (0.9804, 0.1972)                   (1.953, -0.03366)
               3.554                   (0.9807, 0.1954)                   (1.953, -0.03671)
